Interface                                Status    Vlan   Duplex   Speed     Type
GigabitEthernet 4/4                      up        318    Full     1000M     copper
GigabitEthernet 4/5                      up        318    Full     1000M     copper
GigabitEthernet 4/6                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/7                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/8                      up        318    Full     10M       copper
GigabitEthernet 4/9                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/10                     up        318    Full     1000M     copper
GigabitEthernet 4/11                     up        318    Full     1000M     copper
GigabitEthernet 4/12                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/13                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/14                     up        318    Full     1000M     copper
GigabitEthernet 4/15                     up        318    Full     1000M     copper
GigabitEthernet 4/16                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/17                     up        318    Full     100M      copper
GigabitEthernet 4/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/19                     up        318    Full     1000M     copper
GigabitEthernet 4/20                     up        318    Full     100M      copper
GigabitEthernet 4/21                     up        318    Full     1000M     copper
GigabitEthernet 4/22                     up        318    Full     1000M     copper
GigabitEthernet 4/23                     up        318    Full     1000M     copper
GigabitEthernet 4/24                     up        318    Full     100M      copper
GigabitEthernet 4/25                     up        318    Full     1000M     copper
GigabitEthernet 4/26                     up        318    Full     100M      copper
GigabitEthernet 4/27                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/28                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/29                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/30                     up        390    Full     100M      copper
GigabitEthernet 4/31                     up        318    Full     100M      copper
GigabitEthernet 4/32                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/33                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/34                     up        318    Full     1000M     copper
GigabitEthernet 4/35                     up        318    Full     1000M     copper
GigabitEthernet 4/36                     up        318    Full     1000M     copper
GigabitEthernet 4/37                     up        318    Full     1000M     copper
GigabitEthernet 4/38                     down      1001   Unknown  Unknown   copper
GigabitEthernet 4/39                     down      310    Unknown  Unknown   copper
GigabitEthernet 4/40                     up        318    Full     1000M     copper
GigabitEthernet 4/41                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/42                     up        318    Full     100M      copper
GigabitEthernet 4/43                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/44                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/45                     up        318    Full     1000M     copper
GigabitEthernet 4/46                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/47                     up        313    Full     100M      copper
GigabitEthernet 4/48                     up        318    Full     10M       copper
GigabitEthernet 5/1                      down      318    Unknown  Unknown   copper
GigabitEthernet 5/2                      down      318    Unknown  Unknown   copper
GigabitEthernet 5/3                      up        318    Full     1000M     copper
GigabitEthernet 5/4                      down      318    Unknown  Unknown   copper
GigabitEthernet 5/5                      up        318    Full     1000M     copper
GigabitEthernet 5/6                      down      318    Unknown  Unknown   copper
GigabitEthernet 5/7                      up        318    Full     1000M     copper
GigabitEthernet 5/8                      up        313    Full     1000M     copper
GigabitEthernet 5/9                      up        318    Full     1000M     copper
GigabitEthernet 5/10                     up        318    Full     1000M     copper
GigabitEthernet 5/11                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/12                     up        318    Full     1000M     copper
GigabitEthernet 5/13                     up        318    Full     1000M     copper
GigabitEthernet 5/14                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/15                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/16                     down      318    Unknown  Unknown   copper
GigabitEthernet 5/17                     up        318    Full     1000M     copper
